Date,Open,High,Low,Close,Adj Close,Volume
2002-12-06,7.800000,8.640000,7.780000,8.580000,4.463758,27551000
2002-12-09,8.540000,8.560000,8.228000,8.404000,4.372190,3149500
2002-12-10,8.410000,8.660000,8.330000,8.550000,4.448151,1723000
2002-12-11,8.540000,9.100000,8.460000,9.012000,4.688504,2549000
2002-12-12,9.012000,9.012000,8.720000,8.782000,4.568847,1355500
2002-12-13,8.782000,8.794000,8.650000,8.730000,4.541794,987500
2002-12-16,8.700000,8.750000,8.590000,8.620000,4.484568,798000
2002-12-17,8.600000,8.800000,8.560000,8.654000,4.502257,1646000
2002-12-18,8.640000,8.640000,8.510000,8.534000,4.439826,742000
2002-12-19,8.510000,8.540000,8.434000,8.460000,4.401327,684000
2002-12-20,8.480000,8.920000,8.400000,8.890000,4.625036,904500
2002-12-23,8.870000,8.910000,8.670000,8.680000,4.515785,638500
2002-12-24,8.720000,8.720000,8.592000,8.610000,4.479365,218000
2002-12-26,8.620000,8.630000,8.510000,8.520000,4.432543,325000
2002-12-27,8.500000,8.500000,8.350000,8.400000,4.370111,830500
2002-12-30,8.460000,8.570000,8.420000,8.464000,4.403410,1076500
2002-12-31,8.454000,8.760000,8.454000,8.732000,4.542835,1778000
2003-01-02,8.732000,8.790000,8.690000,8.744000,4.549079,315000
2003-01-03,8.744000,9.160000,8.704000,9.160000,4.765503,861500
2003-01-06,9.006000,9.670000,9.006000,9.620000,5.004817,1874500
2003-01-07,9.600000,9.720000,9.450000,9.604000,4.996494,1383000
2003-01-08,9.606000,9.654000,9.534000,9.602000,4.995454,411000
2003-01-09,9.620000,9.840000,9.532000,9.810000,5.103668,649000
2003-01-10,9.770000,9.870000,9.742000,9.798000,5.097422,844000
2003-01-13,9.800000,9.936000,9.774000,9.924000,5.162975,810000
2003-01-14,9.924000,10.000000,9.814000,9.820000,5.108868,554000
2003-01-15,9.680000,9.680000,9.352000,9.410000,4.895567,1459000
2003-01-16,9.400000,9.400000,9.054000,9.076000,4.721803,725000
2003-01-17,9.050000,9.104000,8.960000,9.004000,4.684343,590500
2003-01-21,9.010000,9.040000,8.852000,8.890000,4.625036,468000
2003-01-22,8.860000,8.880000,8.820000,8.830000,4.593820,163500
2003-01-23,8.840000,9.150000,8.826000,9.086000,4.727005,476000
2003-01-24,9.070000,9.420000,9.000000,9.398000,4.889322,685000
2003-01-27,9.358000,9.380000,9.240000,9.250000,4.812326,209000
2003-01-28,9.260000,9.316000,9.200000,9.202000,4.787354,364500
2003-01-29,9.180000,9.400000,9.152000,9.300000,4.838340,401500
2003-01-30,9.300000,9.318000,8.760000,8.840000,4.599022,735000
2003-01-31,8.800000,8.810000,8.402000,8.500000,4.422138,2886000
