observation_date,DSWP1,DSWP2,DSWP3,DSWP4,DSWP5,DSWP7,DSWP10,DSWP30
2011-10-28,0.55,0.61,0.79,1.09,1.41,1.97,2.46,3.12
2011-10-31,0.52,0.56,0.73,1.01,1.32,1.86,2.36,3.00
2011-11-01,0.55,0.58,0.71,0.96,1.24,1.73,2.18,2.78
2011-11-02,0.54,0.58,0.71,0.96,1.25,1.75,2.22,2.86
2011-11-03,0.55,0.57,0.70,0.95,1.23,1.74,2.21,2.87
2011-11-04,0.56,0.59,0.71,0.94,1.22,1.73,2.21,2.88
2011-11-07,0.56,0.59,0.71,0.94,1.21,1.70,2.17,2.82
2011-11-08,0.58,0.60,0.72,0.96,1.24,1.73,2.19,2.83
2011-11-09,0.61,0.64,0.75,0.98,1.24,1.71,2.16,2.79
2011-11-10,0.62,0.66,0.78,1.02,1.29,1.76,2.21,2.84
2011-11-14,0.64,0.70,0.83,1.06,1.33,1.80,2.25,2.86
2011-11-15,0.67,0.71,0.83,1.05,1.32,1.77,2.20,2.80
2011-11-16,0.68,0.73,0.84,1.07,1.32,1.78,2.22,2.81
2011-11-17,0.75,0.79,0.89,1.10,1.35,1.79,2.22,2.78
2011-11-18,0.74,0.78,0.89,1.10,1.35,1.79,2.20,2.74
2011-11-21,0.76,0.79,0.90,1.09,1.33,1.75,2.14,2.66
2011-11-22,0.75,0.79,0.90,1.10,1.35,1.76,2.15,2.66
2011-11-23,0.77,0.80,0.90,1.10,1.34,1.75,2.13,2.60
2011-11-25,0.78,0.82,0.92,1.12,1.36,1.77,2.15,2.62
2011-11-28,0.76,0.80,0.92,1.14,1.39,1.82,2.21,2.70
2011-11-29,0.74,0.79,0.90,1.12,1.38,1.82,2.22,2.70
2011-11-30,0.62,0.66,0.80,1.05,1.33,1.80,2.23,2.75
2011-12-01,0.61,0.67,0.81,1.06,1.34,1.82,2.26,2.81
2011-12-02,0.64,0.71,0.86,1.11,1.39,1.85,2.28,2.80
2011-12-05,0.62,0.68,0.83,1.08,1.35,1.81,2.24,2.77
2011-12-06,0.64,0.69,0.82,1.06,1.32,1.78,2.20,2.75
2011-12-07,0.62,0.67,0.79,1.02,1.29,1.76,2.20,2.78
