Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,106.209999,107.370003,105.639999,107.160004,102.277031,4498900
2020-12-02,106.839996,107.209999,105.650002,106.559998,101.704391,2627300
2020-12-03,106.389999,108.040001,105.760002,107.459999,102.563377,4226400
2020-12-04,108.029999,109.849998,108.029999,109.230003,104.252724,2376200
2020-12-07,109.180000,110.610001,109.040001,110.279999,105.254883,2293600
2020-12-08,110.010002,110.400002,109.199997,110.059998,105.044884,2451100
2020-12-09,109.839996,110.709999,109.050003,110.169998,105.149879,2217300
2020-12-10,109.779999,110.379997,108.820000,109.239998,104.262260,2193800
2020-12-11,108.809998,109.720001,108.120003,108.820000,103.861397,1985300
2020-12-14,109.440002,110.190002,107.660004,107.709999,102.801971,1984500
2020-12-15,108.430000,111.050003,108.050003,110.980003,106.218826,3565700
2020-12-16,111.279999,112.279999,110.699997,111.309998,106.534668,2559400
2020-12-17,111.989998,113.010002,111.559998,112.790001,107.951187,2640400
2020-12-18,112.650002,113.339996,111.849998,112.830002,107.989464,4366200
2020-12-21,112.099998,112.910004,110.529999,112.540001,107.711899,2256500
2020-12-22,112.550003,113.309998,112.099998,113.160004,108.305298,1924500
2020-12-23,113.599998,114.290001,112.110001,112.180000,107.367348,1185900
2020-12-24,111.959999,112.949997,111.809998,112.690002,107.855453,511200
2020-12-28,113.559998,113.709999,112.629997,113.589996,108.716843,1303500
2020-12-29,114.129997,114.129997,112.839996,112.900002,108.056465,1427600
2020-12-30,113.430000,113.620003,112.870003,113.150002,108.295731,1080300
2020-12-31,113.239998,115.400002,113.010002,115.290001,110.343918,1474300
2021-01-04,115.900002,116.250000,112.370003,113.300003,108.439301,2726500
2021-01-05,113.000000,113.809998,112.949997,113.540001,108.668991,2286200
2021-01-06,113.800003,116.570000,112.760002,115.739998,110.774612,2581600
2021-01-07,115.349998,116.300003,114.889999,115.809998,110.841621,2357800
2021-01-08,116.489998,118.080002,116.089996,117.629997,112.583527,2405600
2021-01-11,117.180000,118.809998,116.860001,117.650002,112.602676,1857300
2021-01-12,118.459999,119.019997,117.230003,117.860001,112.803650,2775200
2021-01-13,117.669998,118.470001,117.610001,117.839996,112.784523,2394500
2021-01-14,117.410004,117.620003,114.900002,115.620003,110.659782,2626300
2021-01-15,115.010002,115.620003,114.599998,115.190002,110.248222,2586600
2021-01-19,115.440002,115.839996,114.209999,114.879997,109.951515,2980300
2021-01-20,115.459999,115.459999,113.519997,114.690002,109.769661,2260300
2021-01-21,114.540001,114.750000,112.830002,112.919998,108.075592,1505100
2021-01-22,112.529999,112.940002,111.580002,111.919998,107.118500,1926200
2021-01-25,111.930000,113.089996,111.750000,112.459999,107.635338,2811200
2021-01-26,112.730003,113.180000,111.849998,112.650002,107.817177,1564900
2021-01-27,111.900002,112.400002,108.949997,109.349998,104.658752,2410500
2021-01-28,109.790001,114.599998,109.099998,112.610001,107.778893,2859700
2021-01-29,111.570000,111.870003,109.220001,110.349998,105.615860,2791300
2021-02-01,111.540001,113.860001,111.120003,113.410004,108.544586,2557900
2021-02-02,114.080002,117.599998,113.970001,116.779999,111.769989,2429000
2021-02-03,116.639999,117.250000,115.300003,115.300003,110.353500,2079800
2021-02-04,116.930000,117.050003,114.089996,114.550003,109.635666,2856800
2021-02-05,115.000000,115.150002,111.739998,114.190002,109.291100,3430200
2021-02-08,114.480003,114.580002,113.150002,113.459999,108.592438,2511300
