Effective Date,Rate Type,30-Day Average SOFR,90-Day Average SOFR,180-Day Average SOFR,SOFR Index
02/29/2024,SOFRAI,5.31998,5.35761,5.38782,1.12486532
02/28/2024,SOFRAI,5.31998,5.35784,5.38781,1.12469943
02/27/2024,SOFRAI,5.32031,5.35784,5.38781,1.12453356
02/26/2024,SOFRAI,5.32062,5.35795,5.38775,1.12436772
02/23/2024,SOFRAI,5.32131,5.35831,5.3876,1.12387041
02/22/2024,SOFRAI,5.32165,5.35851,5.38759,1.12370497
02/21/2024,SOFRAI,5.32198,5.35863,5.38758,1.12353956
02/20/2024,SOFRAI,5.32232,5.35873,5.38758,1.12337418
02/16/2024,SOFRAI,5.32407,5.35945,5.38761,1.12271302
02/15/2024,SOFRAI,5.3244,5.35954,5.38755,1.12254745
02/14/2024,SOFRAI,5.32474,5.35977,5.38754,1.12238221
02/13/2024,SOFRAI,5.32471,5.35988,5.38748,1.12221668
02/12/2024,SOFRAI,5.32466,5.35999,5.38743,1.12205118
02/09/2024,SOFRAI,5.32466,5.36035,5.38727,1.12155489
02/08/2024,SOFRAI,5.32466,5.36044,5.38721,1.12138949
02/07/2024,SOFRAI,5.32466,5.36056,5.38714,1.1212241
02/06/2024,SOFRAI,5.32466,5.36067,5.38708,1.12105875
02/05/2024,SOFRAI,5.32463,5.36078,5.38703,1.12089342
02/02/2024,SOFRAI,5.32667,5.3608,5.3867,1.12039671
02/01/2024,SOFRAI,5.32935,5.36078,5.38658,1.12023116
01/31/2024,SOFRAI,5.33136,5.36089,5.38646,1.12006564
01/30/2024,SOFRAI,5.33367,5.36101,5.3864,1.11990046
01/29/2024,SOFRAI,5.33596,5.36146,5.38634,1.11973529
01/26/2024,SOFRAI,5.34299,5.36114,5.38613,1.1192391
01/25/2024,SOFRAI,5.344,5.36101,5.38601,1.11907372
01/24/2024,SOFRAI,5.34433,5.36101,5.38594,1.11890869
01/23/2024,SOFRAI,5.34464,5.36089,5.38594,1.11874367
01/22/2024,SOFRAI,5.34492,5.36078,5.38452,1.11857868
01/19/2024,SOFRAI,5.34526,5.36046,5.38014,1.11808393
01/18/2024,SOFRAI,5.34526,5.36033,5.37865,1.11791904
01/17/2024,SOFRAI,5.34526,5.36011,5.3771,1.11775386
01/16/2024,SOFRAI,5.34526,5.35988,5.37562,1.1175887
01/12/2024,SOFRAI,5.346,5.35993,5.36983,1.11692971
01/11/2024,SOFRAI,5.346,5.35991,5.36834,1.11676499
01/10/2024,SOFRAI,5.34634,5.35991,5.36685,1.11660029
01/09/2024,SOFRAI,5.34667,5.35991,5.36542,1.11643562
01/08/2024,SOFRAI,5.34698,5.35991,5.36394,1.11627097
01/05/2024,SOFRAI,5.34801,5.35991,5.35968,1.11577724
01/04/2024,SOFRAI,5.34835,5.35977,5.35819,1.11561237
01/03/2024,SOFRAI,5.34768,5.35898,5.3563,1.11544537
01/02/2024,SOFRAI,5.34734,5.35808,5.35436,1.11527807
12/29/2023,SOFRAI,5.34407,5.35531,5.34725,1.11461178
12/28/2023,SOFRAI,5.3414,5.35428,5.34548,1.11444462
12/27/2023,SOFRAI,5.33905,5.35338,5.34376,1.11427779
12/26/2023,SOFRAI,5.33805,5.35304,5.34211,1.11411222
12/22/2023,SOFRAI,5.33743,5.35241,5.33603,1.11345404
12/21/2023,SOFRAI,5.33743,5.35228,5.33455,1.11328983
12/20/2023,SOFRAI,5.33743,5.35217,5.33306,1.11312564
12/19/2023,SOFRAI,5.33777,5.35205,5.33157,1.11296148
12/18/2023,SOFRAI,5.33774,5.35194,5.33003,1.11279704
12/15/2023,SOFRAI,5.33777,5.35162,5.32542,1.11230391
12/14/2023,SOFRAI,5.3381,5.3516,5.32393,1.11213987
12/13/2023,SOFRAI,5.33844,5.35149,5.32244,1.11197586
12/12/2023,SOFRAI,5.33877,5.35138,5.32101,1.11181187
12/11/2023,SOFRAI,5.33874,5.35115,5.31947,1.11164759
12/08/2023,SOFRAI,5.33877,5.3505,5.31487,1.11115498
12/07/2023,SOFRAI,5.33877,5.35025,5.31332,1.1109908
12/06/2023,SOFRAI,5.33877,5.35014,5.31178,1.11082664
12/05/2023,SOFRAI,5.33844,5.3498,5.31018,1.1106622
12/04/2023,SOFRAI,5.33674,5.34913,5.30835,1.11049655
12/01/2023,SOFRAI,5.33007,5.34643,5.30272,1.10999798
11/30/2023,SOFRAI,5.33074,5.34618,5.30124,1.10983366
11/29/2023,SOFRAI,5.33074,5.34618,5.29986,1.10966999
11/28/2023,SOFRAI,5.3304,5.34595,5.29849,1.10950602
11/27/2023,SOFRAI,5.33004,5.34572,5.29712,1.10934209
11/24/2023,SOFRAI,5.32873,5.34507,5.29269,1.1088505
11/22/2023,SOFRAI,5.32809,5.34483,5.28982,1.10852348
11/21/2023,SOFRAI,5.32775,5.34472,5.28839,1.10836
11/20/2023,SOFRAI,5.32739,5.34461,5.28691,1.10819654
11/17/2023,SOFRAI,5.32541,5.34395,5.28231,1.10770546
11/16/2023,SOFRAI,5.32507,5.34371,5.28076,1.10754179
11/15/2023,SOFRAI,5.32474,5.34348,5.27921,1.10737814
11/14/2023,SOFRAI,5.32441,5.34326,5.27768,1.10721452
11/13/2023,SOFRAI,5.32404,5.34303,5.27614,1.10705092
11/10/2023,SOFRAI,5.32307,5.34237,5.27159,1.10656035
11/09/2023,SOFRAI,5.32273,5.34213,5.27005,1.10639685
11/08/2023,SOFRAI,5.3224,5.34191,5.2685,1.10623337
11/07/2023,SOFRAI,5.32204,5.34168,5.26696,1.10606992
11/06/2023,SOFRAI,5.32165,5.34146,5.26548,1.10590649
11/03/2023,SOFRAI,5.32131,5.3408,5.26104,1.10541642
11/02/2023,SOFRAI,5.32131,5.34044,5.2595,1.10525278
11/01/2023,SOFRAI,5.32131,5.34022,5.25801,1.10508948
10/31/2023,SOFRAI,5.31998,5.33966,5.25636,1.10492527
